  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    11,   P-31850,   2022/11/01 15:48:02,           1-01,      11,        -3.268,        -8.709,       -75.776,         1.346,         21514,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667343156.83,         0.188,         0.193,         0.421,         0.137,       149.324,         0.002,         0.003,         2.375,        78.571,        26.843,         0.989,        72.566,         1.167,        -0.907,        0.0000,        0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
    12,   P-31850,   2022/11/01 15:57:04,           1-01,      12,        -3.273,        -8.697,       -75.789,         1.333,         21463,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667343699.78,         0.196,         0.201,         0.389,         0.134,       148.247,         0.002,         0.003,         2.357,        78.347,        26.920,         0.983,        71.947,         1.168,        -0.919,        0.0000,       -0.0000,    0,        41.750,         1,       1,       1,Picarro IAEA,       0,       1
    13,   P-31851,   2022/11/01 16:06:07,           1-02,       1,         0.754,        -1.085,        -7.943,         1.327,         21488,      -1,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667344242.12,         0.194,         0.197,         0.359,         0.138,       146.066,         0.002,        -0.001,         2.333,        78.401,        26.580,         1.005,        73.643,         1.169,        -0.886,       -0.0000,        0.0000,    0,        41.688,         1,       2,       1,Picarro IAEA,       0,       1
    14,   P-31851,   2022/11/01 16:15:10,           1-02,       2,         0.928,        -0.818,        -2.894,         1.360,         21498,      -1,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667344784.55,         0.190,         0.200,         0.348,         0.125,       148.552,         0.002,        -0.002,         2.360,        78.474,        26.676,         1.002,        73.106,         1.167,        -0.947,       -0.0000,        0.0000,    0,        41.750,         1,       2,       1,Picarro IAEA,       0,       1
    15,   P-31851,   2022/11/01 16:24:12,           1-02,       3,         0.981,        -0.738,        -2.000,         1.371,         21495,      -1,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667345327.09,         0.205,         0.212,         0.385,         0.145,       147.179,         0.002,        -0.002,         2.327,        78.553,        26.579,         0.997,        73.019,         1.169,        -1.006,       -0.0000,        0.0000,    0,        41.688,         1,       2,       1,Picarro IAEA,       0,       1
    16,   P-31851,   2022/11/01 16:33:14,           1-02,       4,         0.986,        -0.723,        -1.660,         1.367,         21489,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667345868.37,         0.202,         0.200,         0.353,         0.141,       150.402,         0.001,        -0.001,         2.382,        78.510,        26.567,         0.999,        72.993,         1.168,        -0.958,        0.0000,        0.0000,    0,        41.688,         1,       2,       1,Picarro IAEA,       0,       1
    17,   P-31851,   2022/11/01 16:42:16,           1-02,       5,         0.966,        -0.746,        -1.547,         1.360,         21491,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667346411.76,         0.195,         0.188,         0.321,         0.141,       148.583,         0.001,         0.000,         2.365,        78.456,        26.600,         0.996,        73.311,         1.169,        -0.975,        0.0000,       -0.0000,    0,        41.688,         1,       2,       1,Picarro IAEA,       0,       1
    18,   P-31851,   2022/11/01 16:51:19,           1-02,       6,         0.968,        -0.741,        -1.339,         1.359,         21472,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667346954.81,         0.183,         0.182,         0.347,         0.135,       148.546,         0.001,        -0.000,         2.361,        78.329,        26.577,         1.003,        73.493,         1.167,        -0.898,       -0.0000,        0.0000,    0,        41.625,         1,       2,       1,Picarro IAEA,       0,       1
    19,   P-31851,   2022/11/01 17:00:21,           1-02,       7,         0.968,        -0.744,        -1.221,         1.360,         21433,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667347496.49,         0.196,         0.193,         0.341,         0.137,       149.294,         0.001,         0.001,         2.360,        78.193,        26.542,         1.001,        72.922,         1.169,        -0.944,        0.0000,        0.0000,    0,        41.562,         1,       2,       1,Picarro IAEA,       0,       1
    20,   P-31851,   2022/11/01 17:09:24,           1-02,       8,         0.957,        -0.744,        -1.177,         1.350,         21499,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667348039.02,         0.212,         0.196,         0.330,         0.144,       151.072,         0.002,         0.000,         2.374,        78.411,        26.711,         0.998,        73.239,         1.167,        -0.893,        0.0000,        0.0000,    0,        41.562,         1,       2,       1,Picarro IAEA,       0,       1
    21,   P-31851,   2022/11/01 17:18:26,           1-02,       9,         0.975,        -0.729,        -1.095,         1.360,         21438,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667348581.64,         0.182,         0.183,         0.323,         0.139,       149.935,         0.001,         0.001,         2.387,        78.178,        26.686,         0.986,        72.832,         1.169,        -0.970,        0.0000,        0.0000,    0,        41.562,         1,       2,       1,Picarro IAEA,       0,       1
    22,   P-31851,   2022/11/01 17:27:29,           1-02,      10,         1.020,        -0.680,        -1.110,         1.378,         21452,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667349123.92,         0.201,         0.210,         0.332,         0.138,       150.152,         0.002,         0.000,         2.383,        78.328,        26.630,         0.987,        72.640,         1.169,        -1.048,        0.0000,        0.0000,    0,        41.562,         1,       2,       1,Picarro IAEA,       0,       1
    23,   P-31851,   2022/11/01 17:36:31,           1-02,      11,         1.017,        -0.680,        -1.014,         1.376,         21432,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667349665.59,         0.194,         0.192,         0.354,         0.144,       148.749,         0.002,         0.000,         2.355,        78.243,        26.469,         0.998,        72.999,         1.169,        -1.011,       -0.0000,        0.0000,    0,        41.562,         1,       2,       1,Picarro IAEA,       0,       1
    24,   P-31851,   2022/11/01 17:45:32,           1-02,      12,         0.986,        -0.709,        -0.940,         1.361,         21444,       0,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667350207.91,         0.194,         0.192,         0.358,         0.140,       147.981,         0.002,         0.001,         2.361,        78.208,        26.692,         0.991,        72.750,         1.170,        -0.955,       -0.0000,        0.0000,    0,        41.562,         1,       2,       1,Picarro IAEA,       0,       1
    25,   P-31852,   2022/11/01 17:54:34,           1-03,       1,       -13.789,       -28.239,      -220.654,         1.240,         21445,      -1,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667350750.13,         0.193,         0.222,         0.730,         0.138,       146.727,         0.003,         0.010,         2.337,        78.109,        27.589,         0.953,        69.997,         1.171,        -0.767,        0.0000,        0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    26,   P-31852,   2022/11/01 18:03:36,           1-03,       2,       -14.336,       -29.257,      -237.294,         1.238,         21414,      -1,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667351291.45,         0.187,         0.216,         0.861,         0.127,       146.956,         0.002,         0.013,         2.338,        77.932,        27.831,         0.941,        69.301,         1.169,        -0.763,       -0.0000,        0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    27,   P-31852,   2022/11/01 18:12:39,           1-03,       3,       -14.420,       -29.376,      -239.949,         1.217,         21409,      -1,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667351834.26,         0.201,         0.221,         0.857,         0.135,       147.226,         0.003,         0.013,         2.339,        77.926,        27.745,         0.949,        69.257,         1.169,        -0.723,       -0.0000,        0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    28,   P-31852,   2022/11/01 18:21:41,           1-03,       4,       -14.448,       -29.462,      -241.185,         1.236,         21395,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667352376.00,         0.204,         0.216,         0.679,         0.135,       146.163,         0.002,         0.010,         2.339,        77.872,        27.738,         0.944,        69.225,         1.168,        -0.802,       -0.0000,        0.0000,    0,        41.500,         1,       3,       1,Picarro IAEA,       0,       1
    29,   P-31852,   2022/11/01 18:30:43,           1-03,       5,       -14.441,       -29.471,      -241.683,         1.248,         21400,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667352918.18,         0.189,         0.214,         0.704,         0.133,       149.889,         0.002,         0.010,         2.384,        77.886,        27.636,         0.953,        69.566,         1.167,        -0.768,       -0.0000,       -0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    30,   P-31852,   2022/11/01 18:39:46,           1-03,       6,       -14.491,       -29.519,      -242.108,         1.224,         21373,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667353461.18,         0.196,         0.213,         0.648,         0.136,       151.378,         0.002,         0.009,         2.395,        77.733,        27.677,         0.950,        69.420,         1.165,        -0.758,        0.0000,       -0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    31,   P-31852,   2022/11/01 18:48:48,           1-03,       7,       -14.497,       -29.551,      -242.342,         1.234,         21449,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667354003.80,         0.210,         0.207,         0.588,         0.141,       148.649,         0.002,         0.008,         2.358,        78.018,        27.785,         0.960,        69.652,         1.163,        -0.723,        0.0000,        0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    32,   P-31852,   2022/11/01 18:57:51,           1-03,       8,       -14.487,       -29.538,      -242.616,         1.238,         21292,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667354546.48,         0.186,         0.192,         0.509,         0.143,       147.864,         0.002,         0.007,         2.347,        77.387,        27.587,         0.951,        68.971,         1.167,        -0.711,        0.0000,        0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    33,   P-31852,   2022/11/01 19:06:54,           1-03,       9,       -14.493,       -29.544,      -242.796,         1.235,         21415,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667355088.99,         0.200,         0.195,         0.502,         0.149,       146.601,         0.002,         0.007,         2.334,        77.947,        27.688,         0.950,        69.356,         1.165,        -0.819,       -0.0000,        0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    34,   P-31852,   2022/11/01 19:15:56,           1-03,      10,       -14.498,       -29.548,      -243.004,         1.232,         21370,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667355631.66,         0.198,         0.217,         0.520,         0.145,       149.338,         0.002,         0.007,         2.363,        77.728,        27.610,         0.950,        69.454,         1.168,        -0.793,       -0.0000,       -0.0000,    0,        41.562,         1,       3,       1,Picarro IAEA,       0,       1
    35,   P-31852,   2022/11/01 19:24:59,           1-03,      11,       -14.471,       -29.552,      -243.123,         1.262,         21349,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667356174.27,         0.200,         0.194,         0.464,         0.141,       146.878,         0.002,         0.006,         2.349,        77.695,        27.523,         0.943,        69.286,         1.170,        -0.833,       -0.0000,        0.0000,    0,        41.500,         1,       3,       1,Picarro IAEA,       0,       1
    36,   P-31852,   2022/11/01 19:34:01,           1-03,      12,       -14.489,       -29.553,      -243.091,         1.244,         21406,       0,    1,       W-50 / NLGQLH_1_3_2 / 208 / 808 /,                             W-50 USGS46,                 H2O, 1667356716.83,         0.203,         0.190,         0.442,         0.153,       144.975,         0.002,         0.005,         2.315,        77.871,        27.735,         0.946,        69.294,         1.170,        -0.809,        0.0000,        0.0000,    0,        41.500,         1,       3,       1,Picarro IAEA,       0,       1
    37,   P-31853,   2022/11/01 19:43:03,           1-08,       1,         2.112,         1.434,       -18.150,         1.353,         21379,      -1,    1,    W-81917 / NLGQLH_1_9_0 / 208 / 808 /,                               WICO 04 A,                 H2O, 1667357258.19,         0.186,         0.181,         0.479,         0.139,       147.871,         0.000,        -0.002,         2.367,        77.947,        26.544,         0.983,        72.440,         1.168,        -0.942,        0.0000,       -0.0000,    0,        41.438,         1,       8,       2,Picarro IAEA,       0,       1
    38,   P-31853,   2022/11/01 19:52:05,           1-08,       2,         2.678,         2.521,        -1.160,         1.345,         21371,      -1,    1,    W-81917 / NLGQLH_1_9_0 / 208 / 808 /,                               WICO 04 A,                 H2O, 1667357800.69,         0.200,         0.178,         0.541,         0.145,       149.855,         0.001,        -0.007,         2.374,        77.866,        26.466,         0.991,        72.799,         1.170,        -1.023,       -0.0000,       -0.0000,    0,        41.375,         1,       8,       2,Picarro IAEA,       0,       1
    39,   P-31853,   2022/11/01 20:01:08,           1-08,       3,         2.784,         2.678,         1.630,         1.368,         21336,      -1,    1,    W-81917 / NLGQLH_1_9_0 / 208 / 808 /,                               WICO 04 A,                 H2O, 1667358343.22,         0.198,         0.168,         0.508,         0.144,       147.059,         0.001,        -0.007,         2.345,        77.753,        26.375,         0.988,        72.738,         1.172,        -0.972,        0.0000,       -0.0000,    0,        41.375,         1,       8,       2,Picarro IAEA,       0,       1
    40,   P-31853,   2022/11/01 20:10:09,           1-08,       4,         2.796,         2.715,         2.688,         1.361,         21397,       0,    1,    W-81917 / NLGQLH_1_9_0 / 208 / 808 /,                               WICO 04 A,                 H2O, 1667358884.95,         0.181,         0.187,         0.446,         0.139,       148.585,         0.001,        -0.005,         2.356,        77.990,        26.397,         0.998,        73.146,         1.170,        -0.964,       -0.0000,        0.0000,    0,        41.250,         1,       8,       2,Picarro IAEA,       0,       1
    41,   P-31853,   2022/11/01 20:19:11,           1-08,       5,         2.817,         2.753,         3.303,         1.361,         21337,       0,    1,    W-81917 / NLGQLH_1_9_0 / 208 / 808 /,                               WICO 04 A,                 H2O, 1667359426.54,         0.190,         0.198,         0.391,         0.137,       147.936,         0.001,        -0.003,         2.364,        77.690,        26.430,         0.995,        72.829,         1.168,        -0.914,       -0.0000,       -0.0000,    0,        41.188,         1,       8,       2,Picarro IAEA,       0,       1
    42,   P-31853,   2022/11/01 20:28:13,           1-08,       6,         2.787,         2.769,         3.777,         1.323,         21406,       0,    1,    W-81917 / NLGQLH_1_9_0 / 208 / 808 /,                               WICO 04 A,                 H2O, 1667359968.41,         0.176,         0.161,         0.373,         0.130,       147.978,         0.001,        -0.002,         2.362,        77.951,        26.468,         1.000,        73.393,         1.171,        -0.867,       -0.0000,        0.0000,    0,        41.125,         1,       8,       2,Picarro IAEA,       0,       1
    43,   P-31854,   2022/11/01 20:37:15,           1-09,       1,        -3.617,        -9.321,       -71.402,         1.321,         21460,      -1,    1,   W-81941 / NLGQLH_1_11_0 / 208 / 808 /,                        Tap Water Sample,                 H2O, 1667360510.40,         0.204,         0.206,         0.334,         0.145,       147.372,         0.002,         0.000,         2.347,        78.176,        26.849,         0.991,        72.465,         1.171,        -0.843,        0.0000,        0.0000,    0,        41.188,         1,       9,       2,Picarro IAEA,       0,       1
    44,   P-31854,   2022/11/01 20:46:18,           1-09,       2,        -3.866,        -9.748,       -76.760,         1.298,         21465,      -1,    1,   W-81941 / NLGQLH_1_11_0 / 208 / 808 /,                        Tap Water Sample,                 H2O, 1667361052.53,         0.191,         0.198,         0.366,         0.140,       149.821,         0.002,         0.002,         2.384,        78.160,        26.991,         0.986,        71.962,         1.171,        -0.831,        0.0000,        0.0000,    0,        41.125,         1,       9,       2,Picarro IAEA,       0,       1
    45,   P-31854,   2022/11/01 20:55:20,           1-09,       3,        -3.877,        -9.786,       -77.634,         1.308,         21379,      -1,    1,   W-81941 / NLGQLH_1_11_0 / 208 / 808 /,                        Tap Water Sample,                 H2O, 1667361594.70,         0.187,         0.168,         0.360,         0.144,       150.912,         0.001,         0.003,         2.391,        77.857,        26.807,         0.981,        71.694,         1.169,        -0.933,        0.0000,        0.0000,    0,        41.125,         1,       9,       2,Picarro IAEA,       0,       1
    46,   P-31854,   2022/11/01 21:04:22,           1-09,       4,        -3.868,        -9.807,       -77.918,         1.327,         21388,       0,    1,   W-81941 / NLGQLH_1_11_0 / 208 / 808 /,                        Tap Water Sample,                 H2O, 1667362136.69,         0.237,         0.216,         0.370,         0.167,       149.263,         0.002,         0.002,         2.372,        77.894,        26.960,         0.968,        71.300,         1.172,        -0.973,       -0.0000,        0.0000,    0,        41.125,         1,       9,       2,Picarro IAEA,       0,       1
    47,   P-31854,   2022/11/01 21:13:24,           1-09,       5,        -3.867,        -9.820,       -77.969,         1.336,         21386,       0,    1,   W-81941 / NLGQLH_1_11_0 / 208 / 808 /,                        Tap Water Sample,                 H2O, 1667362679.71,         0.208,         0.195,         0.408,         0.153,       151.566,         0.002,         0.003,         2.408,        77.871,        26.767,         0.988,        71.943,         1.170,        -0.905,       -0.0000,        0.0000,    0,        41.125,         1,       9,       2,Picarro IAEA,       0,       1
    48,   P-31854,   2022/11/01 21:22:27,           1-09,       6,        -3.908,        -9.835,       -78.038,         1.303,         21389,       0,    1,   W-81941 / NLGQLH_1_11_0 / 208 / 808 /,                        Tap Water Sample,                 H2O, 1667363221.65,         0.197,         0.194,         0.372,         0.148,       150.226,         0.002,         0.002,         2.394,        77.877,        26.958,         0.978,        71.363,         1.168,        -0.891,        0.0000,        0.0000,    0,        41.250,         1,       9,       2,Picarro IAEA,       0,       1
    49,   P-31855,   2022/11/01 21:31:28,           1-10,       1,        -4.056,       -10.128,       -79.540,         1.311,         21430,      -1,    1,   W-81924 / NLGQLH_1_12_0 / 208 / 808 /,                                 OH-30 B,                 H2O, 1667363763.50,         0.176,         0.190,         0.391,         0.135,       149.475,         0.002,         0.003,         2.368,        78.035,        26.864,         0.988,        72.156,         1.168,        -0.857,        0.0000,        0.0000,    0,        41.188,         1,      10,       2,Picarro IAEA,       0,       1
    50,   P-31855,   2022/11/01 21:40:31,           1-10,       2,        -4.054,       -10.131,       -79.730,         1.314,         21383,      -1,    1,   W-81924 / NLGQLH_1_12_0 / 208 / 808 /,                                 OH-30 B,                 H2O, 1667364305.80,         0.193,         0.200,         0.349,         0.133,       150.436,         0.002,         0.002,         2.385,        77.859,        26.831,         0.979,        71.725,         1.169,        -0.887,        0.0000,        0.0000,    0,        41.250,         1,      10,       2,Picarro IAEA,       0,       1
    51,   P-31855,   2022/11/01 21:49:33,           1-10,       3,        -4.059,       -10.125,       -79.715,         1.306,         21351,      -1,    1,   W-81924 / NLGQLH_1_12_0 / 208 / 808 /,                                 OH-30 B,                 H2O, 1667364848.32,         0.186,         0.176,         0.401,         0.138,       150.195,         0.001,         0.002,         2.379,        77.661,        26.839,         0.983,        71.813,         1.163,        -0.853,        0.0000,        0.0000,    0,        41.250,         1,      10,       2,Picarro IAEA,       0,       1
    52,   P-31855,   2022/11/01 21:58:35,           1-10,       4,        -4.062,       -10.123,       -79.773,         1.302,         21384,       0,    1,   W-81924 / NLGQLH_1_12_0 / 208 / 808 /,                                 OH-30 B,                 H2O, 1667365390.02,         0.174,         0.191,         0.350,         0.123,       149.012,         0.002,         0.002,         2.370,        77.839,        26.919,         0.977,        71.507,         1.167,        -0.917,       -0.0000,       -0.0000,    0,        41.375,         1,      10,       2,Picarro IAEA,       0,       1
    53,   P-31855,   2022/11/01 22:07:37,           1-10,       5,        -4.052,       -10.141,       -79.848,         1.322,         21354,       0,    1,   W-81924 / NLGQLH_1_12_0 / 208 / 808 /,                                 OH-30 B,                 H2O, 1667365931.99,         0.197,         0.195,         0.361,         0.148,       146.945,         0.002,         0.002,         2.348,        77.732,        26.823,         0.974,        71.603,         1.168,        -0.904,       -0.0000,        0.0000,    0,        41.375,         1,      10,       2,Picarro IAEA,       0,       1
    54,   P-31855,   2022/11/01 22:16:39,           1-10,       6,        -4.039,       -10.123,       -79.825,         1.325,         21360,       0,    1,   W-81924 / NLGQLH_1_12_0 / 208 / 808 /,                                 OH-30 B,                 H2O, 1667366474.23,         0.202,         0.200,         0.343,         0.150,       149.709,         0.002,         0.002,         2.366,        77.760,        26.772,         0.978,        71.786,         1.164,        -0.902,        0.0000,        0.0000,    0,        41.375,         1,      10,       2,Picarro IAEA,       0,       1
    55,   P-31856,   2022/11/01 22:25:41,           1-11,       1,        -3.837,        -9.729,       -79.470,         1.318,         21458,      -1,    1,   W-81925 / NLGQLH_1_14_0 / 208 / 808 /,                               WICO 01 B,                 H2O, 1667367016.60,         0.199,         0.190,         0.310,         0.144,       148.140,         0.002,         0.001,         2.354,        78.110,        26.986,         0.980,        72.106,         1.165,        -0.880,       -0.0000,        0.0000,    0,        41.375,         1,      11,       2,Picarro IAEA,       0,       1
    56,   P-31856,   2022/11/01 22:34:44,           1-11,       2,        -3.801,        -9.696,       -79.420,         1.336,         21411,      -1,    1,   W-81925 / NLGQLH_1_14_0 / 208 / 808 /,                               WICO 01 B,                 H2O, 1667367558.90,         0.205,         0.214,         0.367,         0.146,       147.479,         0.002,         0.002,         2.345,        77.973,        26.985,         0.975,        71.344,         1.166,        -0.947,       -0.0000,       -0.0000,    0,        41.375,         1,      11,       2,Picarro IAEA,       0,       1
    57,   P-31856,   2022/11/01 22:43:46,           1-11,       3,        -3.825,        -9.699,       -79.431,         1.314,         21385,      -1,    1,   W-81925 / NLGQLH_1_14_0 / 208 / 808 /,                               WICO 01 B,                 H2O, 1667368101.60,         0.199,         0.206,         0.387,         0.142,       148.369,         0.002,         0.003,         2.362,        77.853,        26.844,         0.986,        71.706,         1.164,        -0.867,        0.0000,        0.0000,    0,        41.375,         1,      11,       2,Picarro IAEA,       0,       1
